,state,county,tract,Total,White,Black,AmericanIndian_Alaskn,Asian,PacificIsland,Other_Race,Hispanic_Latino
252,4,13,106900,6407,4515,220,127,426,5,875,2042
253,4,13,107000,6923,5246,240,103,270,22,803,2063
254,4,13,107101,4214,2716,283,104,192,3,747,1600
255,4,13,107102,5289,3163,566,218,234,14,855,2297
256,4,13,107201,4703,2818,382,217,133,5,885,2257
257,4,13,107202,4720,2759,147,91,166,7,1351,2334
258,4,13,107300,6298,3602,341,160,249,12,1642,2723
259,4,13,107400,7028,4320,656,493,195,16,989,2034
260,4,13,107500,3651,3330,83,45,34,4,83,345
261,4,13,107600,6122,4910,209,222,101,6,535,1214
262,4,13,107700,3531,3001,116,123,59,2,128,356
263,4,13,107800,2374,2259,19,0,53,2,14,57
264,4,13,107900,3950,3627,47,25,138,0,53,145
265,4,13,108000,3547,3438,29,4,34,0,13,106
266,4,13,108100,1874,1804,5,3,25,0,16,62
267,4,13,108200,3354,3074,40,23,52,0,99,315
268,4,13,108300,6445,5867,122,36,100,4,199,607
269,4,13,108400,5351,4128,165,188,80,3,667,1179
270,4,13,108500,5514,4169,195,156,158,3,673,1217
271,4,13,108601,3646,1622,160,289,15,9,1323,2214
272,4,13,108602,4702,2660,288,411,74,2,1045,1930
273,4,13,108700,261,235,12,5,0,0,8,19
274,4,13,108801,1630,1224,85,72,32,0,151,518
275,4,13,108802,3204,2317,137,150,61,2,409,1203
276,4,13,108901,3273,2116,179,232,53,1,520,1227
277,4,13,108902,5222,3488,319,376,98,10,691,1552
278,4,13,109000,15652,7202,1189,1399,410,33,4596,8767
279,4,13,109100,9085,4618,304,167,352,28,3158,5504
280,4,13,109200,4724,2112,299,131,137,6,1769,2953
281,4,13,109300,4707,2757,188,89,54,3,1374,3153
282,4,13,109400,7814,4849,488,201,105,9,1812,4092
283,4,13,109500,4496,2947,374,102,82,3,835,1769
284,4,13,109601,5144,2706,422,41,78,6,1643,2728
285,4,13,109602,6050,3337,615,172,79,11,1562,3462
286,4,13,109603,4558,2386,382,81,91,5,1375,2333
287,4,13,109604,4047,2600,253,40,44,1,973,2166
288,4,13,109701,6918,3832,792,185,120,16,1700,4191
289,4,13,109702,4989,2749,272,73,48,7,1634,2822
290,4,13,109703,2531,1237,185,50,39,10,863,1629
291,4,13,109704,2307,1443,116,34,17,4,587,1363
292,4,13,109705,1842,1048,178,17,42,1,479,996
293,4,13,109801,3880,1894,326,74,38,3,1346,2468
294,4,13,109802,4543,2384,239,62,68,3,1606,2756
295,4,13,109900,6434,4052,340,99,119,12,1582,4001
296,4,13,110001,4329,1923,177,73,44,5,1938,2979
297,4,13,110002,4494,2070,140,67,25,5,1957,3125
298,4,13,110100,7592,3150,200,177,159,9,3617,6000
299,4,13,110200,469,274,8,7,0,0,159,272
300,4,13,110300,8170,4868,408,349,328,8,1843,4613
301,4,13,110400,6019,4025,327,156,201,15,1037,2195
302,4,13,110500,4726,3453,347,221,108,12,461,1067
303,4,13,110600,5728,3639,312,372,74,8,1125,2116
304,4,13,110701,2284,1368,111,166,38,0,554,1096
305,4,13,110702,3955,2633,169,106,62,4,808,1721
306,4,13,110800,8896,5388,409,449,118,5,2029,3949
307,4,13,110900,7940,5523,364,252,96,26,1396,2555
308,4,13,111000,4717,3917,147,93,105,7,321,604
309,4,13,111100,4528,3915,114,101,92,6,207,660
310,4,13,111201,6145,4291,303,246,85,20,949,2051
311,4,13,111202,1754,836,76,66,14,2,696,1281
312,4,13,111203,1025,559,172,37,18,2,186,346
313,4,13,111204,1959,1374,133,144,81,5,160,295
314,4,13,111300,6386,4132,425,297,159,16,1121,1979
315,4,13,111401,4498,2715,187,184,35,7,1168,2741
316,4,13,111402,4296,2791,309,154,43,14,814,2195
317,4,13,111501,2534,1658,34,53,13,0,672,2010
318,4,13,111502,7127,4377,255,164,76,7,1974,4762
319,4,13,111601,3410,1973,99,80,59,2,1102,2055
320,4,13,111602,6819,4614,247,142,19,11,1546,5495
321,4,13,111700,6801,4445,357,193,73,14,1435,3219
