GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130071702,Arizona,Maricopa County,71702,2689,2654,2662,116,4.31,87,3.28,91,3.42,115,2662,4.32
G0400130071801,Arizona,Maricopa County,71801,3421,3619,3907,143,4.18,89,2.46,104,2.66,50,3907,1.28
G0400130071802,Arizona,Maricopa County,71802,2578,2581,2532,68,2.64,73,2.83,83,3.28,40,2532,1.58
G0400130071903,Arizona,Maricopa County,71903,2310,2427,2609,70,3.03,41,1.69,64,2.45,0,2609,0
G0400130071906,Arizona,Maricopa County,71906,1252.55,1864,2186,42,3.35,15,0.8,41,1.88,54,2186,2.47
G0400130071909,Arizona,Maricopa County,71909,824,1691,1808,24,2.91,23,1.36,42,2.32,28,1808,1.55
G0400130071910,Arizona,Maricopa County,71910,1841,2298,2346,106,5.76,31,1.35,71,3.03,29,2346,1.24
G0400130071911,Arizona,Maricopa County,71911,408,848,1199,17,4.17,28,3.3,33,2.75,0,1199,0
G0400130071912,Arizona,Maricopa County,71912,1046,1108,1213,20,1.91,18,1.62,58,4.78,0,1213,0
G0400130071913,Arizona,Maricopa County,71913,783.45,1538,1960,9,1.15,31,2.02,27,1.38,0,1960,0
G0400130071914,Arizona,Maricopa County,71914,865,996,989,27,3.12,6,0.6,26,2.63,0,989,0
G0400130071915,Arizona,Maricopa County,71915,1277,1427,1438,63,4.93,13,0.91,45,3.13,9,1438,0.63
G0400130082002,Arizona,Maricopa County,82002,1591,1895,2376,40,2.51,23,1.21,60,2.53,24,2376,1.01
G0400130082007,Arizona,Maricopa County,82007,1202,1269,1296,50,4.16,14,1.1,40,3.09,25,1296,1.93
G0400130082008,Arizona,Maricopa County,82008,649,1483,1486,21,3.24,14,0.94,41,2.76,0,1486,0
